LUGAR;HORA;FECHA;Alcatraz_adulto;Alcatraz_inmaduro;Alcatraz_juvenil;Gaviota_patiamarilla;Gaviota_sombria;Gaviota_argentea;Gaviota_reidora;Gaviota_tridactila;Gaviota_cabecinegra;Gaviota_cana;Gaviota_enana;Gavion;Pardela_balear;Pardela_mediterranea;Pardela_pichoneta;Pardela_sombria;Pardela_cenicienta;Pardela_capirotada;Pardela_sp;Pardela_balear;Paiño_comun;Cormoran_moñudo;Alcarao;Arao;Alca;Frailecillo;Mergulo;Pagalo_grande;Pagalo_pomarino;Pagalo_parasito;Negron_comun;Negron_especulado;Barnacla_carinegra;anade;Azulon;Cerceta_comun;anade_rabudo;anade_silbon;Cuchara_europeo;Sterna_sp;Charran_comun;Charran_comic;Charran_patinegro;Limicola;Chorlito_gris;Chorlito_dorado;Chorlitejo_chico;Falaropo_picogrueso;Archibebe_comun;Zarapito_trinador;Zarapito_real;Correlimos_sp;Andarrios_chico;Falaropo_picogrueso;Espatula;Garceta_blanca;Garza_real;Garcilla_bueyera;Colimbo_grande;Colimbo_chico;Colimbo_artico;Cormoran_grande;Jilguero;Lavandera_blanca;Lavandera_cascadeña;Urraca;Cuervo;aguila_pescadora;Golondrina_comun;Vencejo_comun;Tortola_europea;Alaudido;Alondra;Bisbita;Bisbita_pratense;Busardo_ratonero;Lavandera_blanca;Martin_pescador;Halcon_peregrino;Busardo_ratonero;Mosquitero_musical;Paloma_torcaz;Zorzal_alirrojo;Petirrojo;Foca_gris;Delfin_mular;Delfin_comun;Marsopa;Delfin;Pez_luna;Atun_rojo
PREBIMEP_W;9:00-9:30;13/09/2016;7;;;318;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREBIMEP_A;9:00-9:30;13/09/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREBIMEP_E;9:00-9:30;13/09/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIMEP_BAJO_W;9:00-9:30;13/09/2016;5;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIMEP_BAJO_A;9:00-9:30;13/09/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIMEP_BAJO_E;9:00-9:30;13/09/2016;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIMEP_ALTO_W;9:00-9:30;13/09/2016;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIMEP_ALTO_E;9:00-9:30;13/09/2016;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POSBIMEP_W;9:00-9:30;13/09/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
POSBIMEP_A;9:00-9:30;13/09/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
