LUGAR	HORA	FECHA	Alcatraz adulto	Alcatraz inmaduro	Alcatraz juvenil	Gaviota patiamarilla	Gaviota sombr¡a	Gaviota arg‚ntea europea	Gaviota c spica	Gaviota reidora	Gaviota trid ctila	Gaviota cabecinegra	Gaviota cana	Gaviota enana	Gavi¢n atl ntico	Gavi¢n hiperb¢reo	Gaviota peque¤a	Pardela balear	Pardela mediterr nea	Pardela pichoneta	Pardela sombr¡a	Pardela cenicienta	Pardela capirotada	Pardela sp	Pa¡¤o europeo	Pa¡¤o boreal	Fulmar boreal	Cormor n mo¤udo	Alcarao	Arao com£n	Alca com£n	Frailecillo atl ntico	M‚rgulo atl ntico	P galo grande	P galo pomarino	P galo par sito	P galo rabero	Negr¢n com£n	Negr¢n especulado	Barnacla carinegra	Tarro blanco	µnade	µnade azul¢n	Cerceta com£n	µnade rabudo	Silb¢n europeo	Pato havelda	Cuchara com£n	Sterna sp	Charr n com£n	Charr n comic	Charr n patinegro	Fumarel com£n	Pagaza piquirroja	Pagaza piconegra	Lim¡cola	Vuelvepiedras com£n	Avoceta com£n	Aguja colipinta	Chorlito gris	Chorlito dorado europeo	Chorlitejo chico	Chorlitejo grande	Falaropo picogrueso	Archibebe com£n	Zarapito trinador	Zarapito real	Zarapito ?	Correlimos sp	Andarr¡os chico	Ostrero euroasi tico	Esp tula	Garceta com£n	Garceta grande	Garza real	Garza imperial	Garcilla bueyera	Colimbo grande	Colimbo chico	Colimbo  rtico	Cormor n grande	Fring¡lido	Jilguero	Lavandera blanca	Lavandera boyera	Lavandera cascade¤a	Urraca	Cuervo grande	µguila pescadora	Aguilucho p lido	Golondrina com£n	Avi¢n com£n	Vencejo com£n	Tortola europea	Alaudido	Alondra com£n	Pinz¢n vulgar	Bisbita	Bisbita pratense	Busardo ratonero	Mart¡n pescador	Halc¢n peregrino	Mosquitero musical	Paloma torcaz	Zorzal alirrojo	Zorzal com£n	Petirrojo	Colirrojo tiz¢n	Verder¢n com£n	Milano negro	Delf¡n mular	Delf¡n com£n	Marsopa	Yubarta	Delf¡n	Pez luna	T£nido	At£n rojo
PREBIMEP W	9:15-9:45	09/01/2019				7																																																																																																																
PREBIMEP A	9:15-9:45	09/01/2019																																																																																																																				
PREBIMEP E	9:15-9:45	09/01/2019				3																																																																																																																
BIMEP BAJO W	9:15-9:45	09/01/2019	3	1						33																																																																																																												
BIMEP BAJO A	9:15-9:45	09/01/2019																																																																																																																				
BIMEP BAJO E	9:15-9:45	09/01/2019	7																																																																																																																			
BIMEP ALTO W	9:15-9:45	09/01/2019				1																																																																																																																
BIMEP ALTO E	9:15-9:45	09/01/2019				1																																																																																																																
POSBIMEP W	9:15-9:45	09/01/2019																																																																																																																				
POSBIMEP A	9:15-9:45	09/01/2019																																																																																																																				
POSBIMEP E	9:15-9:45	09/01/2019																																																																																																																				
PREBIMEP W	9:45-10:15	09/01/2019				2																																																																																																																
PREBIMEP A	9:45-10:15	09/01/2019																																																																																																																				
PREBIMEP E	9:45-10:15	09/01/2019				1																																																																																																																
BIMEP BAJO W	9:45-10:15	09/01/2019	1																																																																																																																			
BIMEP BAJO A	9:45-10:15	09/01/2019																																																																																																																				
BIMEP BAJO E	9:45-10:15	09/01/2019	1																																																																																																																			
BIMEP ALTO W	9:45-10:15	09/01/2019																																																																																																																				
BIMEP ALTO E	9:45-10:15	09/01/2019																																																																																																																				
POSBIMEP W	9:45-10:15	09/01/2019																																																																																																																				
POSBIMEP A	9:45-10:15	09/01/2019																																																																																																																				
POSBIMEP E	9:45-10:15	09/01/2019	6																																																																																																																			
PREBIMEP W	10:15-10:45	09/01/2019																																																																																																																				
PREBIMEP A	10:15-10:45	09/01/2019																																																																																																																				
PREBIMEP E	10:15-10:45	09/01/2019				1																																																																																																																
BIMEP BAJO W	10:15-10:45	09/01/2019	8															1																																																																																																				
BIMEP BAJO A	10:15-10:45	09/01/2019																																																																																																																				
BIMEP BAJO E	10:15-10:45	09/01/2019	5																																																																																																																			
BIMEP ALTO W	10:15-10:45	09/01/2019																																																																																																																				
BIMEP ALTO E	10:15-10:45	09/01/2019																																																																																																																				
POSBIMEP W	10:15-10:45	09/01/2019																																																																																																																				
