LUGAR;HORA;FECHA;Alcatraz_adulto
PREBIMEP W;9:15-9:45;09/01/2019;
PREBIMEP A;9:15-9:45;09/01/2019;
PREBIMEP E;9:15-9:45;09/01/2019;
BIMEP BAJO W;9:15-9:45;09/01/2019;3
BIMEP BAJO A;9:15-9:45;09/01/2019;
BIMEP BAJO E;9:15-9:45;09/01/2019;7
BIMEP ALTO W;9:15-9:45;09/01/2019;
BIMEP ALTO E;9:15-9:45;09/01/2019;
POSBIMEP W;9:15-9:45;09/01/2019;
POSBIMEP A;9:15-9:45;09/01/2019;
POSBIMEP E;9:15-9:45;09/01/2019;
PREBIMEP W;9:45-10:15;09/01/2019;
PREBIMEP A;9:45-10:15;09/01/2019;
PREBIMEP E;9:45-10:15;09/01/2019;
BIMEP BAJO W;9:45-10:15;09/01/2019;1
BIMEP BAJO A;9:45-10:15;09/01/2019;
BIMEP BAJO E;9:45-10:15;09/01/2019;1
BIMEP ALTO W;9:45-10:15;09/01/2019;
BIMEP ALTO E;9:45-10:15;09/01/2019;
POSBIMEP W;9:45-10:15;09/01/2019;
POSBIMEP A;9:45-10:15;09/01/2019;
POSBIMEP E;9:45-10:15;09/01/2019;6
PREBIMEP W;10:15-10:45;09/01/2019;
PREBIMEP A;10:15-10:45;09/01/2019;
PREBIMEP E;10:15-10:45;09/01/2019;
BIMEP BAJO W;10:15-10:45;09/01/2019;8
BIMEP BAJO A;10:15-10:45;09/01/2019;
BIMEP BAJO E;10:15-10:45;09/01/2019;5
BIMEP ALTO W;10:15-10:45;09/01/2019;
BIMEP ALTO E;10:15-10:45;09/01/2019;
POSBIMEP W;10:15-10:45;09/01/2019;
POSBIMEP A;10:15-10:45;09/01/2019;
POSBIMEP E;10:15-10:45;09/01/2019;
PREBIMEP W;10:45-11:15;09/01/2019;
PREBIMEP A;10:45-11:15;09/01/2019;
PREBIMEP E;10:45-11:15;09/01/2019;
BIMEP BAJO W;10:45-11:15;09/01/2019;
BIMEP BAJO A;10:45-11:15;09/01/2019;
BIMEP BAJO E;10:45-11:15;09/01/2019;
BIMEP ALTO W;10:45-11:15;09/01/2019;
BIMEP ALTO E;10:45-11:15;09/01/2019;
POSBIMEP W;10:45-11:15;09/01/2019;1
POSBIMEP A;10:45-11:15;09/01/2019;
POSBIMEP E;10:45-11:15;09/01/2019;2
PREBIMEP W;11:15-11:45;09/01/2019;
PREBIMEP A;11:15-11:45;09/01/2019;
PREBIMEP E;11:15-11:45;09/01/2019;
BIMEP BAJO W;11:15-11:45;09/01/2019;2
BIMEP BAJO A;11:15-11:45;09/01/2019;
BIMEP BAJO E;11:15-11:45;09/01/2019;2
BIMEP ALTO W;11:15-11:45;09/01/2019;
BIMEP ALTO E;11:15-11:45;09/01/2019;
POSBIMEP W;11:15-11:45;09/01/2019;
POSBIMEP A;11:15-11:45;09/01/2019;
POSBIMEP E;11:15-11:45;09/01/2019;2
PREBIMEP W;11:45-12:15;09/01/2019;
PREBIMEP A;11:45-12:15;09/01/2019;
PREBIMEP E;11:45-12:15;09/01/2019;
BIMEP BAJO W;11:45-12:15;09/01/2019;
BIMEP BAJO A;11:45-12:15;09/01/2019;
BIMEP BAJO E;11:45-12:15;09/01/2019;
BIMEP ALTO W;11:45-12:15;09/01/2019;
BIMEP ALTO E;11:45-12:15;09/01/2019;
POSBIMEP W;11:45-12:15;09/01/2019;2
POSBIMEP A;11:45-12:15;09/01/2019;
POSBIMEP E;11:45-12:15;09/01/2019;2
PREBIMEP W;14:15-14:45;09/01/2019;
PREBIMEP A;14:15-14:45;09/01/2019;
PREBIMEP E;14:15-14:45;09/01/2019;
BIMEP BAJO W;14:15-14:45;09/01/2019;
BIMEP BAJO A;14:15-14:45;09/01/2019;
BIMEP BAJO E;14:15-14:45;09/01/2019;7
BIMEP ALTO W;14:15-14:45;09/01/2019;
BIMEP ALTO E;14:15-14:45;09/01/2019;
POSBIMEP W;14:15-14:45;09/01/2019;2
POSBIMEP A;14:15-14:45;09/01/2019;
POSBIMEP E;14:15-14:45;09/01/2019;
PREBIMEP W;14:45-15:15;09/01/2019;
PREBIMEP A;14:45-15:15;09/01/2019;
PREBIMEP E;14:45-15:15;09/01/2019;
BIMEP BAJO W;14:45-15:15;09/01/2019;
BIMEP BAJO A;14:45-15:15;09/01/2019;
BIMEP BAJO E;14:45-15:15;09/01/2019;
BIMEP ALTO W;14:45-15:15;09/01/2019;
BIMEP ALTO E;14:45-15:15;09/01/2019;
POSBIMEP W;14:45-15:15;09/01/2019;
POSBIMEP A;14:45-15:15;09/01/2019;
POSBIMEP E;14:45-15:15;09/01/2019;6
PREBIMEP W;15:15-15:45;09/01/2019;
PREBIMEP A;15:15-15:45;09/01/2019;
PREBIMEP E;15:15-15:45;09/01/2019;
BIMEP BAJO W;15:15-15:45;09/01/2019;1
BIMEP BAJO A;15:15-15:45;09/01/2019;
BIMEP BAJO E;15:15-15:45;09/01/2019;
BIMEP ALTO W;15:15-15:45;09/01/2019;2
BIMEP ALTO E;15:15-15:45;09/01/2019;1
POSBIMEP W;15:15-15:45;09/01/2019;1
POSBIMEP A;15:15-15:45;09/01/2019;
POSBIMEP E;15:15-15:45;09/01/2019;4
PREBIMEP W;15:45-16:15;09/01/2019;
PREBIMEP A;15:45-16:15;09/01/2019;
PREBIMEP E;15:45-16:15;09/01/2019;
BIMEP BAJO W;15:45-16:15;09/01/2019;
BIMEP BAJO A;15:45-16:15;09/01/2019;
BIMEP BAJO E;15:45-16:15;09/01/2019;
BIMEP ALTO W;15:45-16:15;09/01/2019;
BIMEP ALTO E;15:45-16:15;09/01/2019;
POSBIMEP W;15:45-16:15;09/01/2019;1
POSBIMEP A;15:45-16:15;09/01/2019;
POSBIMEP E;15:45-16:15;09/01/2019;6
PREBIMEP W;16:15-16:45;09/01/2019;
PREBIMEP A;16:15-16:45;09/01/2019;
PREBIMEP E;16:15-16:45;09/01/2019;
BIMEP BAJO W;16:15-16:45;09/01/2019;
BIMEP BAJO A;16:15-16:45;09/01/2019;
BIMEP BAJO E;16:15-16:45;09/01/2019;
BIMEP ALTO W;16:15-16:45;09/01/2019;
BIMEP ALTO E;16:15-16:45;09/01/2019;
POSBIMEP W;16:15-16:45;09/01/2019;
POSBIMEP A;16:15-16:45;09/01/2019;
POSBIMEP E;16:15-16:45;09/01/2019;
PREBIMEP W;16:45-17:15;09/01/2019;
PREBIMEP A;16:45-17:15;09/01/2019;
PREBIMEP E;16:45-17:15;09/01/2019;
BIMEP BAJO W;16:45-17:15;09/01/2019;
BIMEP BAJO A;16:45-17:15;09/01/2019;
BIMEP BAJO E;16:45-17:15;09/01/2019;
BIMEP ALTO W;16:45-17:15;09/01/2019;
BIMEP ALTO E;16:45-17:15;09/01/2019;
POSBIMEP W;16:45-17:15;09/01/2019;
POSBIMEP A;16:45-17:15;09/01/2019;
POSBIMEP E;16:45-17:15;09/01/2019;
PREBIMEP W;9:00-9:30;26/02/2019;3
PREBIMEP A;9:00-9:30;26/02/2019;
PREBIMEP E;9:00-9:30;26/02/2019;
BIMEP BAJO W;9:00-9:30;26/02/2019;6
BIMEP BAJO A;9:00-9:30;26/02/2019;
BIMEP BAJO E;9:00-9:30;26/02/2019;2
BIMEP ALTO W;9:00-9:30;26/02/2019;
BIMEP ALTO E;9:00-9:30;26/02/2019;
POSBIMEP W;9:00-9:30;26/02/2019;
