Fecha;Hora;Airpressure;AirTemp;hm0;hm0a;hm0b;hmax;tp;WaterTemp;WindDir;WindGust;WindSP
14/02/2017;13:00:00;1020,70;16,45;0,47;0,31;0,39;0,78;11,34;13,26;161,72;6,64;4,883
14/02/2017;14:00:00;1020,70;16,71;0,47;0,31;0,39;0,70;12,06;13,26;140,63;4,30;2,93
14/02/2017;15:00:00;1021,19;17,24;0,55;0,39;0,39;0,78;16,56;13,42;229,22;4,88;2,734
14/02/2017;16:00:00;1021,19;17,32;0,55;0,31;0,39;0,70;6,40;13,26;188,44;8,59;6,055
14/02/2017;17:00:00;1021,19;16,27;0,47;0,31;0,39;0,78;16,02;13,26;192,66;9,57;6,445
14/02/2017;18:00:00;1021,19;16,36;0,55;0,39;0,47;0,78;15,75;13,26;180,70;11,91;9,18
14/02/2017;19:00:00;1022,66;15,74;0,55;0,47;0,47;0,78;15,30;13,26;177,89;10,16;7,617
14/02/2017;20:00:00;1023,15;15,22;0,55;0,31;0,39;0,94;14,85;13,26;169,45;12,70;9,766
14/02/2017;21:00:00;1023,63;15,13;0,55;0,47;0,39;1,02;12,60;13,26;187,03;12,50;9,375
14/02/2017;22:00:00;1024,61;14,86;0,55;0,39;0,39;0,70;12,96;13,26;196,17;10,55;7,422
14/02/2017;23:00:00;1024,12;14,86;0,55;0,47;0,39;0,78;11,88;13,26;185,63;13,48;10,156
15/02/2017;0:00:00;1024,61;14,95;0,63;0,55;0,47;1,09;14,67;13,26;186,33;15,04;11,719
15/02/2017;1:00:00;1024,61;15,04;0,63;0,55;0,55;1,25;14,40;13,26;181,41;16,41;12,305
15/02/2017;2:00:00;1025,10;15,04;0,39;0,31;0,55;1,02;12,51;13,26;181,41;15,04;11,523
15/02/2017;3:00:00;1025,59;14,86;0,47;0,39;0,55;0,86;14,40;13,26;179,30;14,45;11,133
15/02/2017;4:00:00;1026,56;14,51;0,55;0,47;0,47;0,86;14,40;13,26;187,03;12,70;9,766
15/02/2017;5:00:00;1027,05;14,34;0,63;0,47;0,39;0,94;14,22;13,26;181,41;11,13;8,203
15/02/2017;6:00:00;1027,05;14,16;0,55;0,39;0,39;0,86;14,04;13,26;180,00;13,48;10,547
15/02/2017;7:00:00;1027,54;13,90;0,55;0,47;0,47;0,86;14,04;13,26;177,89;12,31;9,57
15/02/2017;8:00:00;1029,00;13,55;0,63;0,47;0,47;1,09;14,04;13,09;177,89;13,28;10,352
15/02/2017;9:00:00;1029,98;13,63;0,55;0,47;0,47;0,94;13,14;13,09;181,41;12,70;9,18
15/02/2017;10:00:00;1031,45;14,25;0,63;0,55;0,47;1,02;13,32;13,26;180,70;8,98;6,445
15/02/2017;11:00:00;1031,93;15,22;0,47;0,31;0,39;0,63;13,32;13,26;179,30;6,45;4,102
15/02/2017;12:00:00;1031,45;16,09;0,55;0,47;0,31;1,02;12,60;13,42;181,41;8,59;5,859
15/02/2017;13:00:00;1030,96;16,80;0,63;0,55;0,31;0,94;12,96;13,42;189,84;7,81;5,664
15/02/2017;14:00:00;1030,47;17,32;0,55;0,47;0,31;0,86;13,32;13,42;198,98;6,64;4,688
15/02/2017;15:00:00;1029,98;14,07;0,63;0,55;0,31;0,78;12,51;13,59;67,50;6,25;4,297
15/02/2017;16:00:00;1029,49;13,81;0,63;0,55;0,31;0,86;12,78;13,59;66,09;5,47;4,492
15/02/2017;17:00:00;1029,49;14,16;0,55;0,47;0,31;0,78;13,50;13,59;72,42;5,27;4,297
15/02/2017;18:00:00;1029,98;13,55;0,55;0,47;0,31;0,86;11,61;13,59;80,86;5,66;4,688
15/02/2017;19:00:00;1030,47;13,28;0,55;0,47;0,39;0,94;12,33;13,59;54,84;4,10;2,734
15/02/2017;20:00:00;1030,96;13,37;0,63;0,55;0,39;1,02;12,78;13,42;59,06;4,10;2,93
15/02/2017;21:00:00;1030,96;14,16;0,47;0,39;0,39;0,78;12,06;13,42;7,03;1,76;0,781
15/02/2017;22:00:00;1031,45;14,25;0,55;0,47;0,39;0,94;12,15;13,42;154,69;3,91;1,563
15/02/2017;23:00:00;1031,45;15,48;0,47;0,39;0,39;0,78;12,33;13,26;186,33;5,86;3,906
16/02/2017;0:00:00;1031,45;15,57;0,55;0,39;0,39;0,70;11,88;13,26;161,02;3,52;1,758
16/02/2017;1:00:00;1031,45;15,39;0,47;0,39;0,39;0,86;12,15;13,42;193,36;6,06;3,516
16/02/2017;2:00:00;1031,45;15,13;0,47;0,31;0,39;0,70;11,25;13,26;162,42;7,03;3,906
16/02/2017;3:00:00;1030,96;15,57;0,47;0,31;0,39;0,70;12,06;13,26;179,30;6,06;2,93
16/02/2017;4:00:00;1030,96;14,51;0,55;0,39;0,39;0,94;12,60;13,26;165,94;5,66;3,125
16/02/2017;5:00:00;1030,47;14,25;0,55;0,39;0,39;0,86;13,68;13,26;168,05;11,72;7,813
16/02/2017;6:00:00;1030,47;14,42;0,63;0,47;0,47;0,86;11,34;13,42;187,03;10,16;7,422
16/02/2017;7:00:00;1030,47;14,51;0,78;0,63;0,55;1,48;11,79;13,42;184,92;10,16;7,227
16/02/2017;8:00:00;1030,96;14,42;0,63;0,47;0,47;0,94;12,78;13,42;182,81;9,57;7,031
16/02/2017;9:00:00;1031,45;14,42;0,70;0,55;0,55;1,17;13,32;13,42;182,81;10,16;7,617
16/02/2017;10:00:00;1031,45;14,60;0,86;0,63;0,63;1,17;12,78;13,42;184,22;9,57;6,641
16/02/2017;11:00:00;1031,93;15,48;0,78;0,55;0,63;1,02;11,79;13,42;183,52;8,59;6,836
16/02/2017;12:00:00;1031,45;16,09;0,78;0,63;0,63;1,25;11,52;13,42;182,11;8,20;5,859
16/02/2017;13:00:00;1030,96;15,92;0,70;0,47;0,55;1,25;11,16;13,59;182,11;6,64;4,297
16/02/2017;14:00:00;1029,98;13,55;0,78;0,47;0,55;1,09;9,19;13,59;71,72;4,69;3,516
16/02/2017;15:00:00;1029,49;13,37;0,70;0,39;0,55;1,25;9,37;13,75;76,64;3,52;2,539
16/02/2017;16:00:00;1029,49;13,28;0,78;0,47;0,63;1,17;9,64;13,75;37,27;5,08;4,297
16/02/2017;17:00:00;1029,49;13,19;0,78;0,39;0,70;1,17;9,46;13,75;54,14;5,86;4,688
16/02/2017;18:00:00;1029,49;13,72;0,78;0,39;0,63;1,02;9,55;13,75;78,75;6,45;5,273
16/02/2017;19:00:00;1029,98;13,63;0,78;0,55;0,63;1,25;9,19;13,59;85,08;6,25;5,078
16/02/2017;20:00:00;1029,98;13,55;0,70;0,39;0,63;1,17;9,73;13,59;67,50;5,66;4,297
16/02/2017;21:00:00;1029,98;13,37;0,78;0,39;0,70;1,17;9,64;13,59;210,94;1,76;0,391
16/02/2017;22:00:00;1030,47;12,23;0,78;0,39;0,70;1,09;9,37;13,59;241,17;2,15;0,977
16/02/2017;23:00:00;1029,98;12,84;0,78;0,47;0,63;1,25;8,92;13,59;79,45;1,76;0,391
17/02/2017;0:00:00;1029,98;13,11;0,78;0,47;0,70;1,17;8,92;13,59;28,83;1,95;0,781
17/02/2017;1:00:00;1029,49;12,14;0,78;0,47;0,63;1,33;9,19;13,42;218,67;1,95;1,172
17/02/2017;2:00:00;1029,49;13,11;0,70;0,47;0,63;1,17;11,52;13,26;193,36;3,91;1,953
17/02/2017;3:00:00;1029,00;12,49;0,78;0,47;0,63;1,09;10,98;13,26;111,80;2,54;1,172
17/02/2017;4:00:00;1028,52;13,37;0,78;0,39;0,70;1,25;9,64;13,42;187,03;6,45;4,883
17/02/2017;5:00:00;1028,52;13,37;0,86;0,47;0,70;1,48;10,81;13,42;191,25;6,84;5,664
17/02/2017;6:00:00;1028,03;13,11;0,78;0,39;0,70;1,17;8,65;13,42;184,92;5,27;3,906
17/02/2017;7:00:00;1028,03;12,84;0,86;0,39;0,70;1,25;9,73;13,42;184,92;3,52;1,953
17/02/2017;8:00:00;1028,52;12,67;0,86;0,47;0,70;1,17;10,45;13,26;351,56;3,91;0,977
17/02/2017;9:00:00;1029,00;13,02;0,86;0,55;0,63;1,17;10,45;13,26;303,75;1,56;0,586
17/02/2017;10:00:00;1029,00;13,37;0,78;0,47;0,63;1,17;10,27;13,42;4,92;1,37;0,391
17/02/2017;11:00:00;1029,00;13,11;0,70;0,47;0,55;1,02;10,18;13,42;42,19;2,54;1,758
17/02/2017;12:00:00;1028,52;12,93;0,70;0,39;0,63;1,25;9,73;13,42;66,80;3,32;2,539
17/02/2017;13:00:00;1028,03;12,93;0,70;0,39;0,63;1,17;9,46;13,59;56,95;2,15;1,563
17/02/2017;14:00:00;1027,05;13,02;0,70;0,31;0,63;0,94;9,64;13,59;74,53;3,71;2,539
17/02/2017;15:00:00;1026,07;12,93;0,70;0,39;0,63;1,25;8,38;13,75;66,80;5,47;4,297
17/02/2017;16:00:00;1025,10;12,75;0,63;0,23;0,63;0,86;9,19;13,59;63,98;8,20;6,445
17/02/2017;17:00:00;1025,10;13,37;0,63;0,31;0,63;1,09;8,74;13,59;78,05;8,01;6,641
17/02/2017;18:00:00;1025,10;13,37;0,63;0,23;0,63;0,94;9,28;13,59;84,38;7,03;5,859
17/02/2017;19:00:00;1025,10;12,93;0,55;0,23;0,55;1,02;9,55;13,59;262,97;4,30;2,539
17/02/2017;20:00:00;1025,10;12,14;0,63;0,23;0,55;1,02;9,10;13,59;220,08;2,15;1,563
17/02/2017;21:00:00;1025,59;12,31;0,63;0,23;0,63;0,94;9,19;13,59;267,19;4,88;3,711
17/02/2017;22:00:00;1025,59;11,96;0,63;0,31;0,55;1,02;10,63;13,42;227,11;3,13;2,148
17/02/2017;23:00:00;1025,10;11,70;0,47;0,23;0,47;0,70;7,93;13,42;104,77;1,95;1,172
18/02/2017;0:00:00;1025,10;11,88;0,55;0,23;0,47;0,78;8,92;13,42;38,67;2,73;1,953
18/02/2017;1:00:00;1024,61;11,17;0,47;0,23;0,39;0,70;8,47;13,42;208,13;2,15;1,367
18/02/2017;2:00:00;1024,12;11,17;0,39;0,16;0,39;0,55;8,65;13,42;215,16;1,56;0,977
18/02/2017;3:00:00;1023,15;11,26;0,47;0,31;0,39;0,70;9,46;13,42;196,88;2,93;1,953
18/02/2017;4:00:00;1022,66;11,26;0,39;0,31;0,31;0,63;18,26;13,42;163,83;4,10;3,125
18/02/2017;5:00:00;1022,66;11,96;0,39;0,23;0,31;0,70;9,28;13,42;199,69;3,91;2,734
18/02/2017;6:00:00;1022,66;11,52;0,47;0,31;0,31;0,63;17,63;13,42;214,45;2,93;2,148
18/02/2017;7:00:00;1022,17;11,35;0,55;0,47;0,39;0,70;17,99;13,42;196,17;4,30;3,516
18/02/2017;8:00:00;1022,66;11,96;0,47;0,39;0,31;0,70;17,09;13,42;227,81;4,49;2,93
18/02/2017;9:00:00;1023,15;11,70;0,63;0,55;0,31;0,78;17,36;13,42;248,91;3,71;2,93
18/02/2017;10:00:00;1023,63;11,61;0,47;0,39;0,31;0,70;16,82;13,42;272,11;6,64;5,078
18/02/2017;11:00:00;1023,63;11,44;0,63;0,63;0,31;1,02;16,56;13,59;253,13;5,66;4,492
18/02/2017;12:00:00;1023,63;11,79;0,70;0,63;0,31;0,86;17,09;13,59;270,70;6,45;5,078
18/02/2017;13:00:00;1023,15;11,79;0,55;0,47;0,39;0,86;17,09;13,59;288,98;6,64;4,883
18/02/2017;14:00:00;1022,66;11,61;0,70;0,63;0,39;1,02;16,82;13,59;291,80;6,25;4,883
18/02/2017;15:00:00;1022,66;12,14;0,78;0,78;0,47;1,25;16,82;13,59;275,63;6,06;4,688
18/02/2017;16:00:00;1022,17;12,14;0,78;0,78;0,39;1,09;16,29;13,59;277,73;6,64;5,078
18/02/2017;17:00:00;1022,66;12,14;0,63;0,55;0,39;1,09;17,09;13,59;311,48;5,47;4,102
18/02/2017;18:00:00;1022,66;12,05;0,70;0,70;0,39;1,25;17,09;13,59;315,00;5,08;3,711
18/02/2017;19:00:00;1023,15;11,88;0,70;0,70;0,39;1,02;15,75;13,59;310,78;4,10;3,125
18/02/2017;20:00:00;1023,63;11,88;1,02;0,94;0,39;1,48;16,56;13,59;290,39;3,52;2,539
18/02/2017;21:00:00;1024,12;11,88;0,94;0,86;0,39;1,48;15,75;13,59;296,02;3,91;2,734
18/02/2017;22:00:00;1024,61;11,88;0,94;0,86;0,31;1,41;16,02;13,59;301,64;5,08;4,297
18/02/2017;23:00:00;1024,61;11,88;1,02;0,94;0,39;1,41;16,02;13,59;313,59;5,27;4,297
19/02/2017;0:00:00;1025,10;12,05;1,09;1,09;0,39;1,80;15,48;13,59;312,89;6,06;4,688
19/02/2017;1:00:00;1025,10;11,96;1,17;1,09;0,47;1,95;15,75;13,59;316,41;7,23;5,469
19/02/2017;2:00:00;1025,59;11,88;1,33;1,25;0,55;2,11;15,48;13,42;307,27;6,64;5,078
19/02/2017;3:00:00;1026,07;12,05;1,25;1,09;0,63;1,88;15,30;13,42;317,81;5,86;4,688
