Fecha;Hora;Airpressure;AirTemp;BatteryVolt;CurrDir;CurrSpeed;GlobalRadia;hm0;hm0a;hm0b;hmax;latitude;Latitude;longitude;Longitude;mdir;mdira;mdirb;tp;WaterTemp;WindDir;WindGust;WindSP
11/12/2018;13:00:00;1022,168;11,436;13,75;140,273;217,09;265,625;0;0;0;0;43,462;43,462;-2,757;-2,757;0;0;0;2;14,898;64,688;3,125;1,758
11/12/2018;14:00:00;1020,703;11,699;13,75;88,242;223,242;132,813;1,484;1,172;0,938;2,891;43,464;43,464;-2,868;-2,868;135;150,469;19,688;22,305;14,898;64,688;4,688;2,734
11/12/2018;15:00:00;1020,215;12,051;13,438;264,375;10,254;74,219;1,172;0,781;0,938;2,031;43,468;43,468;-2,887;-2,887;63,281;74,531;52,031;12,332;15,063;78,047;5,078;3,906
11/12/2018;16:00:00;1020,703;12,139;13,125;254,18;10,84;27,344;1,016;0,703;0,781;1,484;43,468;43,468;-2,887;-2,887;348,75;303,75;37,969;11,793;15,063;81,563;3,711;2,344
11/12/2018;17:00:00;1020,703;12,139;12,656;262,617;18,164;0;1,094;0,781;0,781;1,875;43,468;43,468;-2,887;-2,887;340,313;310,781;12,656;12,152;15,063;30,234;1,172;0,391
11/12/2018;18:00:00;1021,191;13,018;12,656;273,867;21,68;0;0,938;0,547;0,781;1,406;43,468;43,468;-2,887;-2,887;355,781;312,188;29,531;12,961;15,063;241,875;4,297;3,32
11/12/2018;19:00:00;1021,68;13,018;12,5;286,172;17,871;0;0,859;0,469;0,703;1,328;43,468;43,468;-2,887;-2,887;357,188;305,156;23,906;5,055;15,063;238,359;5,078;3,906
11/12/2018;20:00:00;1022,168;14,512;12,656;275,977;18,75;0;0,859;0,625;0,703;1,406;43,468;43,468;-2,887;-2,887;329,063;309,375;351,563;11,613;15,063;280,547;8,789;6,055
11/12/2018;21:00:00;1022,656;14,072;12,656;265,43;7,617;0;0,781;0,547;0,703;1,406;43,468;43,468;-2,887;-2,887;330,469;310,781;326,25;12,063;15,063;272,109;12,695;8,789
11/12/2018;22:00:00;1022,656;14,512;12,656;285,82;7,324;0;0,938;0,469;0,938;1,797;43,468;43,468;-2,887;-2,887;305,156;305,156;299,531;12,152;15,063;261,563;9,766;7,813
11/12/2018;23:00:00;1023,145;14,336;12,656;274,219;4,395;0;0,938;0,469;0,859;1,172;43,468;43,468;-2,887;-2,887;299,531;305,156;295,313;12,512;15,063;258,047;8,008;6,445
12/12/2018;0:00:00;1023,145;14,336;12,656;279,492;4,98;0;0,859;0,469;0,781;1,484;43,468;43,468;-2,887;-2,887;298,125;300,938;292,5;11,344;15,063;253,828;8,203;6,445
12/12/2018;1:00:00;1022,656;14,248;12,656;270,703;1,465;0;0,703;0,391;0,703;1,016;43,468;43,468;-2,887;-2,887;305,156;303,75;298,125;10,984;15,063;260,859;9,375;7,617
12/12/2018;2:00:00;1022,656;12,754;12,656;145,195;2,344;0;0,781;0,469;0,703;1,172;43,468;43,468;-2,887;-2,887;302,344;300,938;295,313;11,793;15,063;265,078;12,305;9,57
12/12/2018;3:00:00;1023,145;13,018;12,656;170,508;5,566;0;0,859;0,469;0,859;1,328;43,468;43,468;-2,887;-2,887;291,094;302,344;285,469;10,535;15,063;272,109;9,375;7,227
12/12/2018;4:00:00;1022,656;12,139;12,656;188,438;5,859;0;0,938;0,469;0,938;1,719;43,468;43,468;-2,887;-2,887;298,125;306,563;292,5;3,977;15,063;265,781;10,352;8,203
12/12/2018;5:00:00;1022,656;12,314;12,656;221,484;7,617;0;0,938;0,469;0,938;1,328;43,468;43,468;-2,887;-2,887;298,125;302,344;293,906;4,605;15,063;260,156;10,352;7,813
12/12/2018;6:00:00;1022,656;11,699;12,656;230,273;7,91;0;1,094;0,625;1,016;1,641;43,468;43,468;-2,887;-2,887;299,531;299,531;295,313;11,793;15,063;260,156;11,914;9,18
12/12/2018;7:00:00;1022,656;12,139;12,656;262,969;7,617;0;1,094;0,547;1,094;1,719;43,468;43,468;-2,887;-2,887;298,125;303,75;292,5;4,785;15,063;267,188;9,961;7,617
12/12/2018;8:00:00;1022,656;12,227;12,656;278,086;9,082;11,719;1,016;0,625;0,938;1,406;43,468;43,468;-2,887;-2,887;298,125;305,156;289,688;11,523;15,063;257,344;9,375;7,031
12/12/2018;9:00:00;1022,656;12,578;12,656;284,414;6,152;50,781;1,094;0,625;0,938;1,641;43,468;43,468;-2,887;-2,887;303,75;309,375;296,719;12,063;15,063;251,016;7,617;5,859
12/12/2018;10:00:00;1022,656;12,666;12,813;277,734;6,738;105,469;1,328;0,938;1,016;1,719;43,468;43,468;-2,887;-2,887;303,75;307,969;299,531;18,98;15,063;245,391;6,25;4,883
12/12/2018;11:00:00;1022,168;12,402;13,125;301,641;7,91;128,906;1,25;0,859;1,016;2,031;43,468;43,468;-2,887;-2,887;306,563;310,781;302,344;13,141;15,063;203,203;5,078;3,711
12/12/2018;12:00:00;1021,191;12,49;13,281;319,922;7,324;140,625;1,563;1,25;1,016;2,188;43,468;43,468;-2,887;-2,887;312,188;312,188;307,969;18,262;15,063;195,469;5,469;4,102
12/12/2018;13:00:00;1020,215;12,754;13,438;2,109;6,152;179,688;1,797;1,563;1,016;2,813;43,468;43,468;-2,887;-2,887;316,406;317,813;306,563;17,094;15,063;210,938;3,125;2,148
12/12/2018;14:00:00;1019,238;12,754;13,281;28,125;3,223;125;1,875;1,641;1,016;2,891;43,468;43,468;-2,887;-2,887;317,813;319,219;310,781;16,285;15,063;194,063;3,711;2,539
12/12/2018;15:00:00;1018,75;12,666;12,969;41,133;0,879;58,594;2,188;1,953;1,016;3,516;43,468;43,468;-2,887;-2,887;310,781;310,781;306,563;17,363;15,063;191,25;2,344;0,977
12/12/2018;16:00:00;1017,773;12,754;12,813;192,305;0,879;11,719;2,5;2,266;1,016;3,672;43,468;43,468;-2,887;-2,887;312,188;312,188;307,969;16,555;15,063;151,875;3,711;1,563
12/12/2018;17:00:00;1017,285;12,666;12,813;222,539;3,223;0;2,5;2,344;1,016;3,828;43,468;43,468;-2,887;-2,887;305,156;305,156;305,156;16,555;15,063;127,969;4,492;2,734
12/12/2018;18:00:00;1016,309;12,578;12,656;278,438;10,254;0;2,109;1,797;1,016;2,813;43,468;43,468;-2,887;-2,887;307,969;307,969;305,156;15,746;15,063;167,344;3,125;1,367
12/12/2018;19:00:00;1014,844;12,93;12,656;281,25;14,355;0;2,344;2,109;0,938;3,359;43,468;43,468;-2,887;-2,887;306,563;306,563;302,344;17,094;15,063;267,891;5,273;2,539
12/12/2018;20:00:00;1013,867;12,754;12,656;283,711;13,77;0;2,344;2,188;1,016;3,125;43,468;43,468;-2,887;-2,887;307,969;307,969;305,156;17,094;15,063;168,75;5,273;1,953
12/12/2018;21:00:00;1012,891;13,018;12,5;288,633;12,891;0;2,813;2,656;0,938;4,141;43,468;43,468;-2,887;-2,887;310,781;310,781;303,75;16,285;15,063;181,406;8,594;4,688
12/12/2018;22:00:00;1010,449;13,545;12,656;320,273;14,941;0;2,188;2,031;1,016;3,906;43,468;43,468;-2,887;-2,887;307,969;309,375;295,313;16,285;15,063;182,109;12,891;9,18
12/12/2018;23:00:00;1010,449;14,072;12,656;325,547;12,012;0;2,5;2,188;1,172;3,516;43,468;43,468;-2,887;-2,887;310,781;312,188;299,531;13,859;15,063;196,875;13,281;9,57
13/12/2018;0:00:00;1008,984;14,424;12,656;345,938;8,203;0;3,125;2,891;1,25;5,156;43,468;43,468;-2,887;-2,887;307,969;307,969;296,719;15,477;15,063;191,953;14,258;9,766
13/12/2018;1:00:00;1008,008;14,775;12,656;48,867;8,789;0;2,422;2,188;1,094;4,063;43,468;43,468;-2,887;-2,887;307,969;309,375;292,5;15,477;15,063;193,359;13,086;9,57
13/12/2018;2:00:00;1007,031;15,127;12,656;57,656;14,063;0;2,5;2,344;1,094;3,906;43,468;43,468;-2,887;-2,887;313,594;315;298,125;14,848;14,898;203,906;11,523;7,617
13/12/2018;3:00:00;1007,031;15,479;12,656;63,633;9,375;0;2,422;2,344;0,859;3,438;43,468;43,468;-2,887;-2,887;307,969;309,375;289,688;15,297;14,898;200,391;9,18;6,445
13/12/2018;4:00:00;1006,055;13,896;12,5;93,867;21,387;3,906;2,422;2,188;0,938;3,359;43,468;43,468;-2,887;-2,887;309,375;310,781;292,5;16,285;14,898;202,5;8,398;6,445
13/12/2018;5:00:00;1005,078;13,457;12,5;97,734;16,699;3,906;2,188;2,031;0,859;3,281;43,468;43,468;-2,887;-2,887;307,969;307,969;295,313;15,477;14,898;187,734;12,109;8,984
13/12/2018;6:00:00;1004,102;13,633;12,656;98,086;11,719;0;2,188;2,031;0,859;3,203;43,468;43,468;-2,887;-2,887;306,563;306,563;298,125;15,477;14,898;182,109;12,109;8,398
13/12/2018;7:00:00;1004,102;13,721;12,656;91,758;8,789;0;2,031;1,875;0,859;2,969;43,468;43,468;-2,887;-2,887;306,563;307,969;286,875;14,039;14,898;196,172;10,156;7,422
13/12/2018;8:00:00;1005,078;13,633;12,656;92,461;16,699;3,906;1,875;1,797;0,703;2,891;43,468;43,468;-2,886;-2,886;307,969;309,375;286,875;15,477;14,898;267,188;18,945;13,477
13/12/2018;9:00:00;1006,055;11,963;12,656;101,602;14,941;7,813;2,188;1,875;1,25;3,594;43,468;43,468;-2,886;-2,886;302,344;309,375;279,844;15,477;14,898;265,078;15,039;11,328
13/12/2018;10:00:00;1007,031;11,523;12,656;98,438;19,629;31,25;2,188;1,484;1,641;3,516;43,468;43,468;-2,886;-2,886;292,5;309,375;277,031;14,668;14,898;270,703;17,969;13,281
13/12/2018;11:00:00;1008,008;11,172;12,656;103,008;28,125;42,969;2,422;1,641;1,875;3,594;43,468;43,468;-2,886;-2,886;292,5;305,156;281,25;14,219;14,898;267,891;14,648;11,328
13/12/2018;12:00:00;1008,008;11,787;12,813;95,625;27,539;50,781;2,422;1,719;1,797;3,125;43,468;43,468;-2,886;-2,886;293,906;305,156;284,063;14,848;14,898;266,484;13,477;10,742
13/12/2018;13:00:00;1008,008;12,314;12,813;89,648;30,762;136,719;2,5;1,953;1,719;3,906;43,468;43,468;-2,886;-2,886;295,313;299,531;288,281;15,477;14,898;266,484;15,82;11,719
13/12/2018;14:00:00;1008,008;12,402;12,813;101,602;37,793;66,406;2,656;1,953;1,953;3,672;43,468;43,468;-2,886;-2,886;296,719;302,344;291,094;15,027;14,898;276,328;18,555;13,672
13/12/2018;15:00:00;1008,984;13,193;12,656;105,117;34,863;35,156;3,281;2,031;2,578;5,078;43,468;43,468;-2,886;-2,886;292,5;300,938;286,875;13,32;14,898;295,313;15,82;10,938
13/12/2018;16:00:00;1009,961;12,93;12,656;116,367;35,742;11,719;3,438;2,188;2,734;4,766;43,468;43,468;-2,886;-2,886;299,531;313,594;288,281;14,219;14,898;308,672;20,117;15,43
13/12/2018;17:00:00;1011,426;13,105;12,656;117,773;36,914;0;3,906;2,422;3,047;5,391;43,468;43,468;-2,886;-2,886;296,719;302,344;292,5;15,027;14,898;302,344;17,969;13,672
13/12/2018;18:00:00;1011,914;13,193;12,5;114,961;32,813;0;3,672;2,109;3,047;5,313;43,468;43,468;-2,886;-2,886;302,344;315;296,719;7,66;14,898;305,156;18,164;13,477
13/12/2018;19:00:00;1012,891;12,578;12,5;119,531;31,055;3,906;3,594;2,031;3,047;4,688;43,468;43,468;-2,886;-2,886;295,313;299,531;293,906;7,391;15,063;303,75;17,969;12,891
13/12/2018;20:00:00;1013,379;13,281;12,656;0;0;0;3,906;2,578;2,969;5;43,468;43,468;-2,886;-2,886;305,156;316,406;296,719;17,633;15,000;298,125;16,602;12,5
13/12/2018;21:00:00;1014,355;13,018;12,5;103,711;38,965;0;3,75;2,5;2,813;5,547;43,468;43,468;-2,886;-2,886;303,75;312,188;296,719;17,094;15,063;301,641;17,773;13,281
13/12/2018;22:00:00;1014,844;12,93;12,5;100,898;35,742;0;3,594;2,5;2,656;4,844;43,468;43,468;-2,886;-2,886;307,969;320,625;298,125;17,094;14,898;288,281;15,234;11,523
13/12/2018;23:00:00;1015,82;13,193;12,5;102,656;35,156;0;3,594;2,5;2,578;5;43,468;43,468;-2,886;-2,886;306,563;312,188;300,938;16,824;14,898;296,719;16,602;12,5
14/12/2018;0:00:00;1016,309;12,139;12,5;95,273;48,633;0;3,594;2,656;2,5;4,844;43,468;43,468;-2,886;-2,886;307,969;315;300,938;16,285;14,898;294,609;16,211;12,5
14/12/2018;1:00:00;1016,309;12,314;12,5;99,844;53,32;0;3,281;2,266;2,5;4,844;43,468;43,468;-2,886;-2,886;309,375;319,219;302,344;16,285;14,898;275,625;17,188;12,305
14/12/2018;2:00:00;1016,797;11,875;12,5;91,406;55,664;0;3,984;2,969;2,734;5,234;43,468;43,468;-2,886;-2,886;309,375;317,813;299,531;15,027;14,898;286,172;16,602;9,766
14/12/2018;3:00:00;1016,797;12,139;12,5;95,977;62,695;0;3,984;2,891;2,734;5,625;43,468;43,468;-2,885;-2,885;305,156;309,375;298,125;14,848;14,898;269,297;17,383;12,695
14/12/2018;4:00:00;1017,285;11,787;12,5;97,031;56,25;0;3,906;2,891;2,656;6,25;43,468;43,468;-2,885;-2,885;310,781;320,625;298,125;16,285;14,898;281,25;17,773;12,695
14/12/2018;5:00:00;1017,285;12,051;12,5;101,953;49,805;0;3,906;2,969;2,656;6,094;43,468;43,468;-2,885;-2,885;312,188;319,219;302,344;15,027;14,898;278,438;17,969;13,672
14/12/2018;6:00:00;1018,262;11,963;12,5;91,758;51,27;0;3,828;2,813;2,578;6,016;43,468;43,468;-2,885;-2,885;306,563;312,188;298,125;16,285;14,898;273,516;17,383;11,914
14/12/2018;7:00:00;1018,75;12,139;12,5;97,734;43,945;0;4,219;3,203;2,813;5,547;43,468;43,468;-2,885;-2,885;306,563;312,188;298,125;17,633;14,898;275,625;17,188;12,891
14/12/2018;8:00:00;1019,727;11,699;12,5;103,359;43,945;7,813;4,297;3,359;2,734;5,859;43,468;43,468;-2,885;-2,885;310,781;316,406;299,531;16,824;14,898;275,625;16,211;11,719
14/12/2018;9:00:00;1020,703;12,227;12,5;99,492;46,289;23,438;4,609;3,672;2,813;8,359;43,468;43,468;-2,885;-2,885;312,188;319,219;300,938;16,285;14,898;274,219;16,016;11,719
14/12/2018;10:00:00;1021,68;11,611;12,656;90,352;46,875;31,25;3,828;2,969;2,5;4,922;43,468;43,468;-2,885;-2,885;317,813;324,844;305,156;16,824;15,063;265,781;14,844;10,352
14/12/2018;11:00:00;1022,656;11,26;12,5;82,266;56,836;35,156;4,922;4,297;2,422;7,188;43,468;43,468;-2,885;-2,885;312,188;315;302,344;16,016;14,898;267,891;14,063;10,352
14/12/2018;12:00:00;1022,656;10,996;12,813;92,461;55,078;132,813;4,141;3,359;2,422;6,484;43,468;43,468;-2,885;-2,885;309,375;310,781;303,75;16,555;15,063;259,453;13,672;10,156
14/12/2018;13:00:00;1023,145;11,963;12,813;92,109;60,645;35,156;3,672;3,047;2,109;5,234;43,468;43,468;-2,884;-2,884;319,219;324,844;303,75;16,824;15,063;275,625;16,016;11,523
14/12/2018;14:00:00;1023,145;12,49;12,969;99,141;57,715;183,594;3,906;3,359;2,109;5,625;43,468;43,468;-2,884;-2,884;319,219;322,031;303,75;16,555;15,063;283,359;14,648;10,352
14/12/2018;15:00:00;1023,145;12,754;12,656;97,031;58,594;39,063;3,672;3,047;2,109;5,703;43,468;43,468;-2,885;-2,885;317,813;324,844;300,938;16,555;15,063;281,953;13,086;9,766
14/12/2018;16:00:00;1023,633;12,93;12,813;96,68;55,078;50,781;3,672;3,203;1,953;5,391;43,468;43,468;-2,884;-2,884;320,625;326,25;300,938;16,555;15,063;284,063;11,914;8,789
14/12/2018;17:00:00;1023,633;12,93;12,656;90;50,098;0;3,75;3,203;2,031;5,313;43,468;43,468;-2,885;-2,885;313,594;317,813;299,531;15,297;14,898;275,625;9,57;6,836
14/12/2018;18:00:00;1024,121;12,842;12,5;101,602;41,309;0;3,359;2,891;1,719;4,531;43,468;43,468;-2,885;-2,885;316,406;320,625;300,938;16,285;14,898;274,922;8,398;6,055
14/12/2018;19:00:00;1024,121;11,963;12,5;107,578;35,156;0;3,281;2,813;1,719;4,766;43,468;43,468;-2,885;-2,885;312,188;313,594;303,75;16,824;14,898;233,438;7,617;5,078
14/12/2018;20:00:00;1024,121;11,084;12,5;99,141;33,398;0;2,891;2,5;1,484;4,141;43,468;43,468;-2,885;-2,885;312,188;312,188;306,563;16,016;14,898;183,516;6,836;4,492
14/12/2018;21:00:00;1023,633;11,084;12,5;100,195;31,055;0;2,969;2,578;1,563;4,922;43,468;43,468;-2,885;-2,885;312,188;310,781;310,781;15,477;14,898;190,547;6,055;4,102
14/12/2018;22:00:00;1023,633;11,084;12,5;97,734;27,539;0;3,438;3,125;1,484;5,313;43,468;43,468;-2,885;-2,885;313,594;315;306,563;15,297;14,898;190,547;5,273;3,516
14/12/2018;23:00:00;1022,656;12,051;12,5;70,664;33,691;0;3,047;2,734;1,484;5,078;43,468;43,468;-2,885;-2,885;310,781;309,375;312,188;15,297;14,734;150,469;6,641;4,297
15/12/2018;0:00:00;1022,168;12,051;12,5;73,828;33,398;0;3,047;2,734;1,406;5;43,468;43,468;-2,885;-2,885;313,594;313,594;313,594;14,668;14,734;174,375;9,57;6,836
15/12/2018;1:00:00;1021,68;12,314;12,5;74,531;32,52;0;2,891;2,5;1,406;3,75;43,468;43,468;-2,885;-2,885;312,188;312,188;313,594;15,297;14,734;178,594;8,398;6,25
15/12/2018;2:00:00;1021,191;12,227;12,5;75,586;34,863;0;2,5;2,188;1,25;3,984;43,468;43,468;-2,885;-2,885;310,781;309,375;312,188;13,32;14,734;189,844;7,422;5,469
15/12/2018;3:00:00;1021,191;12,139;12,5;72,422;34,863;0;2,656;2,344;1,25;3,906;43,468;43,468;-2,885;-2,885;312,188;312,188;310,781;14,668;14,734;186,328;8,789;6,445
