Fecha;Hora;Airpressure;AirTemp;BatteryVolt;CardNo;Charged;CurrDir;CurrSpeed;Discharged;GlobalRadia;hm0;hm0a;hm0b;hmax;mdir;mdira;mdirb;sprtp;thhf;thmax;tm01;tm02;tm02a;tm02b;tp;WaterTemp;WindDir;WindGust;WindSP
28/03/2019;11:00:00;1032,622;11,875;13,867;1;1,348;229,219;16,992;0,012;664,063;0,781;0,273;0,781;1,094;49,219;103,359;38,672;45;3,516;8,086;5,977;5,625;11,484;4,57;9,668;13,8960;0;0;0
28/03/2019;12:00:00;1032,571;11,963;14,121;1;1,664;271,406;28,711;0,012;705,078;0,938;0,391;0,898;1,484;352,969;311,484;351,563;35,508;284,063;5,156;5,742;5,449;10,781;4,395;5,566;13,9450;0;0;0
28/03/2019;13:00:00;1031,75;11,919;13,77;1;1,629;281,25;26,953;0,012;693,359;0,898;0,313;0,898;1,328;356,484;312,188;354,375;33,75;341,719;5,039;5,508;5,273;10,957;4,512;5,332;13,9450;0;0;0
28/03/2019;14:00:00;1030,93;11,831;13,32;1;1,242;286,875;22,852;0,012;626,953;0,898;0,313;0,898;1,406;354,375;324,141;353,672;30,586;313,594;5,273;5,625;5,391;11,016;4,57;5,918;14,0430;0;0;0
28/03/2019;15:00:00;1030,366;11,743;13,223;1;0,891;288,984;20,508;0,012;513,672;0,938;0,313;0,938;1,563;350,859;295,313;355,781;34,453;335,391;6,094;5,742;5,508;13,184;4,688;5,508;14,2380;0;0;0
28/03/2019;16:00:00;1029,7;11,699;13,115;1;0,539;291,094;15,234;0,012;377,93;0,859;0,273;0,859;1,328;348,047;317,109;350,859;40,781;13,359;5,742;5,625;5,332;11,543;4,512;5,859;14,2870;0;0;0
28/03/2019;17:00:00;1029,443;11,655;13,008;1;0,352;284,063;11,719;0,012;143,555;0,82;0,195;0,859;1,484;353,672;312,188;354,375;22,852;348,75;5,156;5,391;5,273;11,895;4,512;5,273;14,2380;0;0;0
28/03/2019;18:00:00;1029,392;11,567;12,832;1;0,117;275,625;11,133;0,023;43,945;0,859;0,43;0,781;1,328;345,938;313,594;354,375;32,344;349,453;5,391;5,977;5,625;12,48;4,453;5,508;14,2870;0;0;0
28/03/2019;19:00:00;1029,238;11,436;12,725;1;0;250,313;14,063;0,199;0;0,82;0,313;0,781;1,016;352,266;319,219;357,188;27,773;347,344;5,742;5,625;5,391;12,48;4,395;5,449;14,3360;0;0;0
28/03/2019;20:00:00;1029,392;11,479;12,695;1;0;239,766;18,75;0,258;0;0,781;0,469;0,664;1,172;341,016;310,078;357,188;53,789;352,266;6,563;6,445;5,918;13,535;4,395;14,414;14,2870;0;0;0
28/03/2019;21:00:00;1029,495;10,82;12,686;1;0;250,313;20,508;0,258;0;0,742;0,43;0,664;1,016;341,719;310,781;358,594;55,547;355,078;6,211;6,211;5,684;13,125;4,16;14,238;14,3360;0;0;0
28/03/2019;22:00:00;1029,238;10,645;12,666;1;0;255,234;21,094;0,258;0;0,82;0,43;0,742;1,172;341,016;279,141;2,109;52,734;30,234;7,5;6,094;5,684;13,184;4,453;14,004;14,1890;0;0;0
28/03/2019;23:00:00;1028,828;10,469;12,627;1;0;272,813;18,164;0,258;0;0,82;0,391;0,781;1,406;354,375;311,484;4,922;35,508;9,844;6,445;5,742;5,508;12,539;4,512;5,449;14,1410;0;0;0
29/03/2019;0:00:00;1028,469;10,293;12,656;1;0;267,188;21,094;0,258;0;0,938;0,586;0,781;1,484;342,422;307,969;2,109;35,859;348,75;12,305;6,563;6,035;13,242;4,57;14,004;14,0920;0;0;0
29/03/2019;1:00:00;1027,905;10,205;12,637;1;0;270,703;21,68;0,258;0;0,898;0,234;0,898;1,406;359,297;312,188;2,813;30,938;349,453;5,273;5,391;5,273;11,777;4,805;5,391;14,0430;0;0;0
29/03/2019;2:00:00;1027,393;10,073;12,646;1;0;284,063;21,094;0,258;0;0,938;0,469;0,82;1,406;348,75;300,938;2,813;48,516;352,969;11,133;6,094;5,684;13,008;4,629;13,828;13,9940;0;0;0
29/03/2019;3:00:00;1026,931;9,546;12,627;1;0;299,531;13,477;0,258;0;0,859;0,391;0,82;1,406;353,672;305,859;4,219;29,883;320,625;4,922;5,859;5,508;12,246;4,629;5,391;13,8960;0;0;0
29/03/2019;4:00:00;1026,47;9,678;12,617;1;0;281,25;8,789;0,258;0;0,82;0,352;0,781;1,328;0;316,406;6,328;36,914;293,203;6,211;5,625;5,391;12,48;4,629;5,273;13,7010;0;0;0
29/03/2019;5:00:00;1026,213;9,722;12,617;1;0;262,969;5,273;0,258;0;0,781;0,273;0,742;1,25;355,781;306,563;0;36,211;287,578;5,742;5,508;5,273;12,188;4,629;5,449;13,6520;0;0;0
29/03/2019;6:00:00;1026,008;9,678;12,588;1;0;225,703;6,445;0,258;2,93;0,82;0,352;0,781;1,328;357,891;324,141;4,922;25,664;18,984;5,977;5,742;5,508;12,949;4,688;5,508;13,6040;0;0;0
29/03/2019;7:00:00;1026,162;10,513;12,793;1;0,07;208,828;12,305;0,094;112,305;0,703;0,234;0,703;1,172;358,594;321,328;1,406;28,477;285,469;4,688;5,508;5,215;12,188;4,629;5,273;13,6040;0;0;0
29/03/2019;8:00:00;1025,906;10,908;13,105;1;0,551;227,813;19,922;0,012;282,227;0,664;0,273;0,625;1,016;346,641;318,516;352,266;30,938;66,797;10,664;5,625;5,332;12,129;4,453;5,332;13,6520;0;0;0
29/03/2019;9:00:00;1025,752;12,622;13,252;1;0,867;244,688;25,781;0,012;440,43;0,742;0,313;0,703;1,172;345,234;304,453;352,266;43,242;139,219;5,508;5,742;5,449;11,895;4,629;5,449;13,7990;0;0;0
29/03/2019;10:00:00;1025,291;13,721;13,691;1;1,148;251,719;25,195;0,012;563,477;0,898;0,508;0,742;1,484;343,125;319,922;350,156;46,055;322,031;6,797;6,563;6,152;12,539;4,746;13,301;13,9450;0;0;0
29/03/2019;11:00:00;1024,265;12,358;13,74;1;1,383;248,906;32,813;0,012;663,086;0,82;0,469;0,742;1,172;344,531;319,922;352,266;46,758;157,5;5,391;6,211;5,859;12,422;4,57;13,125;14,0920;0;0;0
29/03/2019;12:00:00;1023,188;12,271;13,857;1;1,289;254,531;39,258;0,012;712,891;0,781;0,469;0,664;1,172;333,281;315;345,234;31,641;66,797;5,625;6,445;5,977;12,246;4,688;12,656;14,0920;0;0;0
29/03/2019;13:00:00;1022,419;12,446;13,691;1;1,125;262,969;39,258;0,012;706,055;0,781;0,469;0,703;1,172;339,609;317,109;1,406;33,047;73,125;5,391;6,563;6,094;11,953;3,926;12,188;13,7990;0;0;0
29/03/2019;14:00:00;1021,855;12,666;13,496;1;0,961;282,656;29,883;0,012;642,578;0,781;0,391;0,781;1,25;343,125;310,781;4,922;46,406;76,641;5,742;6,328;5,918;12,656;3,984;13,125;13,7500;0;0;0
29/03/2019;15:00:00;1020,83;12,71;13,281;1;0,809;294,609;32,813;0,012;546,875;0,781;0,43;0,742;1,172;337,5;311,484;6,328;39,727;65,391;9,961;6,563;6,035;12,012;3,867;12,949;13,8960;0;0;0
29/03/2019;16:00:00;1020,061;12,798;13,184;1;0,574;297,422;28,125;0,012;401,367;0,703;0,43;0,703;1,563;341,719;319,219;9,844;40,43;59,766;8,906;6,563;6,035;11,66;3,516;12,656;13,9940;0;0;0
29/03/2019;17:00:00;1019,753;12,974;13,291;1;0,574;291,797;21,094;0,012;171,875;0,781;0,43;0,781;1,172;337,5;310,781;4,219;50,977;62,578;9,023;6,563;6,094;12,48;3,75;13,477;14,0430;0;0;0
29/03/2019;18:00:00;1019,907;13,149;12,969;1;0,34;291,797;12,891;0,012;52,734;0,742;0,469;0,703;1,172;333,281;307,969;14,063;33,398;71,016;6,68;6,797;6,211;12,422;3,691;13,125;13,9940;0;0;0
29/03/2019;19:00:00;1020,42;13,062;12,764;1;0;286,172;11,133;0,176;0;0,703;0,43;0,664;1,094;337,5;315,703;7,031;33,047;73,125;11,367;6,563;5,977;11,836;3,691;12,48;13,9450;0;0;0
29/03/2019;20:00:00;1020,933;13,018;12,754;1;0;290,391;10,547;0,258;0;0,703;0,43;0,625;1,094;339,609;307,969;4,922;30,234;54,141;9,609;6,445;5,918;12,188;3,984;12,773;13,8960;0;0;0
29/03/2019;21:00:00;1021,086;12,622;12,715;1;0;279,141;8,789;0,258;0;0,742;0,391;0,664;1,016;347,344;310,078;2,109;29,531;40,078;6,328;5,859;5,449;11,895;4,16;5,332;13,8960;0;0;0
29/03/2019;22:00:00;1020,881;12,578;12,695;1;0;256,641;11,719;0,258;0;0,82;0,508;0,664;1,25;341,016;314,297;0,703;25,313;34,453;9,492;6,563;5,918;12,48;4,16;12,773;13,8960;0;0;0
29/03/2019;23:00:00;1020,42;12,183;12,686;1;0;265,078;11,719;0,258;0;0,82;0,586;0,625;1,172;331,875;315;355,781;35,156;350,859;11,484;7,266;6,445;12,48;4,277;14,004;13,8960;0;0;0
30/03/2019;0:00:00;1020,061;13,633;12,715;1;0;258,047;11,719;0,258;0,977;0,938;0,742;0,625;1,406;332,578;319,922;354,375;20,391;300,938;12,422;7,969;6,914;12,891;4,102;11,777;13,8480;0;0;0
30/03/2019;1:00:00;1020,01;16,665;12,666;1;0;274,922;13,477;0,258;0;0,859;0,664;0,547;1,328;330,469;323,438;348,75;31,289;246,797;11,836;8,32;7,207;12,598;3,926;14,238;13,8480;0;0;0
30/03/2019;2:00:00;1019,087;16,753;12,656;1;0;292,5;19,336;0,258;0;0,82;0,625;0,664;1,172;327,656;318,516;326,25;46,758;186,328;10,078;7,852;6,914;12,48;3,398;14,004;13,7990;0;0;0
30/03/2019;3:00:00;1018,267;16,357;12,656;1;0;322,734;20,508;0,258;0;0,898;0,781;0,742;1,641;331,172;327,656;223,594;33,398;178,594;10,547;8,789;7,617;12,539;3,223;13,828;13,7500;0;0;0
30/03/2019;4:00:00;1018,625;15,654;12,646;1;0;343,125;18,75;0,258;0;0,82;0,664;0,703;1,406;328,359;322,734;230,625;51,328;170,156;10,195;8,32;7,207;12,656;3,164;13,652;13,7500;0;0;0
30/03/2019;5:00:00;1018,728;14,907;12,646;1;0;359,297;18,164;0,258;0;0,938;0,781;0,703;1,484;325,547;322,734;279,141;41,836;176,484;11,953;9,492;8,379;12,363;3,223;13,477;13,7010;0;0;0
30/03/2019;6:00:00;1018,318;14,6;12,627;1;0;10,547;15,234;0,258;3,906;0,859;0,742;0,664;1,563;324,844;322,031;186,328;45,352;172,969;12,188;9,375;8,262;12,422;3,105;13,477;13,7010;0;0;0
30/03/2019;7:00:00;1018,779;14,38;12,783;1;0,035;28,828;13,477;0,117;122,07;0,781;0,664;0,664;1,641;312,891;309,375;182,109;36,563;180;10,664;9,609;8,496;12,305;2,988;12,656;13,6520;0;0;0
30/03/2019;8:00:00;1019,138;14,512;13,115;1;0,539;47,813;6,445;0,012;266,602;0,82;0,742;0,586;1,406;311,484;312,188;194,766;41,133;177,891;12,188;10,195;9,258;12,305;2,988;12,949;13,6520;0;0;0
30/03/2019;9:00:00;1019,497;15,083;13,33;1;0,82;3,516;1,758;0,012;346,68;1,094;1,016;0,625;1,875;319,922;319,922;190,547;21,797;182,813;11,719;11,25;10,488;12,48;3,047;12,949;13,6520;0;0;0
30/03/2019;10:00:00;1019,856;16,006;13,721;1;1,207;263,672;4,688;0,012;521,484;1,094;1,055;0,586;1,797;315,703;316,406;226,406;24,258;184,219;11,25;11,25;10,664;12,305;3,105;12,656;13,6520;0;0;0
30/03/2019;11:00:00;1020,164;17,412;13,701;1;1,078;278,438;2,344;0,047;607,422;0,938;0,859;0,508;1,641;319,922;322,031;244,688;24,961;177,891;11,484;10,664;9,961;12,129;3,398;12,363;13,7010;0;0;0
30/03/2019;12:00:00;1019,497;18,467;13,623;1;0,961;262,969;10,547;0,094;658,203;1,094;1,055;0,43;1,797;312,891;313,594;293,203;27,07;182,813;11,953;11,484;10,898;12,539;3,75;13,301;13,7990;0;0;0
30/03/2019;13:00:00;1018,831;14,731;14,17;1;1,184;245,391;14,063;0,07;681,641;1,328;1,211;0,547;1,797;317,109;317,813;310,078;21,094;204,609;11,133;10,898;10,488;11,836;5,684;11,895;13,9450;0;0;0
30/03/2019;14:00:00;1018,215;14,38;13,672;1;1,008;255,234;28,711;0,082;612,305;1,367;1,25;0,469;2,031;319,219;319,922;311,484;12,656;168,75;11,133;11,133;10,664;11,953;5,508;12,48;14,2380;0;0;0
30/03/2019;15:00:00;1017,805;14,819;13,672;1;0,855;265,078;26,953;0,082;502,93;1,055;0,977;0,469;1,563;312,891;313,594;307,969;24,961;155,391;12,422;10,781;10,078;12,07;5,332;12,07;14,3850;0;0;0
30/03/2019;16:00:00;1017,241;14,38;13,486;1;0,832;271,406;24,023;0,059;366,211;1,172;1,055;0,508;1,797;319,922;320,625;311,484;18,633;143,438;11,367;10,781;10,313;12,012;5,742;12,656;14,4820;0;0;0
30/03/2019;17:00:00;1017,036;14,424;13,262;1;0,645;258,75;28,711;0,059;215,82;1,055;1,016;0,391;1,563;316,406;317,109;307,969;22,148;130,078;10,664;10,664;10,254;11,484;4,922;11,016;14,6780;0;0;0
